,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
31,Maruti Alto,Maruti,Alto,13,80000,Dealer,Petrol,Manual,19.7,796,46.3,5,135000
32,Maruti Alto,Maruti,Alto,12,46000,Dealer,Petrol,Manual,19.7,796,46.3,5,150000
33,Maruti Alto,Maruti,Alto,12,25000,Dealer,Petrol,Manual,19.7,796,46.3,5,155000
34,Maruti Alto,Maruti,Alto,10,69000,Dealer,Petrol,Manual,19.7,796,46.3,5,140000
35,Maruti Alto,Maruti,Alto,13,30000,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
36,Maruti Alto,Maruti,Alto,10,72000,Dealer,Petrol,Manual,19.7,796,46.3,5,185000
37,Maruti Alto,Maruti,Alto,11,67789,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
38,Maruti Alto,Maruti,Alto,13,50000,Dealer,Petrol,Manual,19.7,796,46.3,5,145000
39,Maruti Alto,Maruti,Alto,12,55274,Dealer,Petrol,Manual,19.7,796,46.3,5,145000
40,Maruti Alto,Maruti,Alto,12,67833,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
44,Maruti Alto,Maruti,Alto,11,29000,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
45,Maruti Alto,Maruti,Alto,13,30008,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
46,Maruti Alto,Maruti,Alto,11,53503,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
50,Maruti Alto,Maruti,Alto,10,9000,Dealer,Petrol,Manual,19.7,796,46.3,5,160000
53,Maruti Alto,Maruti,Alto,15,83000,Dealer,Petrol,Manual,19.7,796,46.3,5,95000
54,Maruti Alto,Maruti,Alto,17,58000,Dealer,Petrol,Manual,19.7,796,46.3,5,111000
56,Maruti Alto,Maruti,Alto,14,17000,Dealer,Petrol,Manual,19.7,796,46.3,5,145000
58,Maruti Alto,Maruti,Alto,10,49100,Dealer,Petrol,Manual,19.7,796,46.3,5,155000
59,Maruti Alto,Maruti,Alto,11,51479,Dealer,Petrol,Manual,19.7,796,46.3,5,195000
60,Maruti Alto,Maruti,Alto,9,42000,Dealer,Petrol,Manual,19.7,796,46.3,5,211000
61,Maruti Alto,Maruti,Alto,9,67000,Dealer,Petrol,Manual,19.7,796,46.3,5,235000
63,Maruti Alto,Maruti,Alto,12,26097,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
64,Maruti Alto,Maruti,Alto,14,86156,Dealer,Petrol,Manual,19.7,796,46.3,5,185000
66,Maruti Alto,Maruti,Alto,15,103000,Dealer,Petrol,Manual,19.7,796,46.3,5,150000
67,Maruti Alto,Maruti,Alto,11,49650,Dealer,Petrol,Manual,19.7,796,46.3,5,210000
68,Maruti Alto,Maruti,Alto,9,79000,Dealer,Petrol,Manual,19.7,796,46.3,5,200000
71,Maruti Alto,Maruti,Alto,14,60235,Dealer,Petrol,Manual,19.7,796,46.3,5,100000
72,Maruti Alto,Maruti,Alto,14,83000,Dealer,Petrol,Manual,19.7,796,46.3,5,110000
75,Maruti Alto,Maruti,Alto,9,75000,Dealer,Petrol,Manual,19.7,796,46.3,5,245000
76,Maruti Alto,Maruti,Alto,15,55000,Dealer,Petrol,Manual,19.7,796,46.3,5,95000
77,Maruti Alto,Maruti,Alto,15,74650,Dealer,Petrol,Manual,19.7,796,46.3,5,140000
78,Maruti Alto,Maruti,Alto,17,85000,Dealer,Petrol,Manual,19.7,796,46.3,5,135000
79,Maruti Alto,Maruti,Alto,11,27000,Dealer,Petrol,Manual,19.7,796,46.3,5,220000
80,Maruti Alto,Maruti,Alto,11,98499,Dealer,Petrol,Manual,19.7,796,46.3,5,185000
81,Maruti Alto,Maruti,Alto,14,49251,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
82,Maruti Alto,Maruti,Alto,14,76366,Dealer,Petrol,Manual,19.7,796,46.3,5,185000
83,Maruti Alto,Maruti,Alto,13,97000,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
84,Maruti Alto,Maruti,Alto,9,62000,Dealer,Petrol,Manual,19.7,796,46.3,5,245000
85,Maruti Alto,Maruti,Alto,13,76000,Dealer,Petrol,Manual,19.7,796,46.3,5,165000
86,Maruti Alto,Maruti,Alto,9,76154,Dealer,Petrol,Manual,19.7,796,46.3,5,275000
87,Maruti Alto,Maruti,Alto,10,29000,Dealer,Petrol,Manual,19.7,796,46.3,5,180000
89,Maruti Alto,Maruti,Alto,11,41000,Dealer,Petrol,Manual,19.7,796,46.3,5,160000
90,Maruti Alto,Maruti,Alto,10,40256,Dealer,Petrol,Manual,19.7,796,46.3,5,138000
91,Maruti Alto,Maruti,Alto,11,70000,Dealer,Petrol,Manual,19.7,796,46.3,5,130000
92,Maruti Alto,Maruti,Alto,19,54000,Dealer,Petrol,Manual,19.7,796,46.3,5,90000
93,Maruti Alto,Maruti,Alto,9,22215,Dealer,Petrol,Manual,19.7,796,46.3,5,170000
94,Maruti Alto,Maruti,Alto,9,61043,Dealer,Petrol,Manual,19.7,796,46.3,5,210000
95,Maruti Alto,Maruti,Alto,9,19455,Dealer,Petrol,Manual,19.7,796,46.3,5,185000
96,Maruti Alto,Maruti,Alto,11,48679,Dealer,Petrol,Manual,19.7,796,46.3,5,130000
97,Maruti Alto,Maruti,Alto,12,35000,Dealer,Petrol,Manual,19.7,796,46.3,5,225000
98,Maruti Alto,Maruti,Alto,15,90000,Dealer,Petrol,Manual,19.7,796,46.3,5,110000
99,Maruti Alto,Maruti,Alto,10,115000,Dealer,Petrol,Manual,19.7,796,46.3,5,125000
100,Maruti Alto,Maruti,Alto,11,62000,Dealer,Petrol,Manual,19.7,796,46.3,5,160000
101,Maruti Alto,Maruti,Alto,10,22500,Dealer,Petrol,Manual,19.7,796,46.3,5,120000
102,Maruti Alto,Maruti,Alto,14,40000,Dealer,Petrol,Manual,19.7,796,46.3,5,80000
103,Maruti Alto,Maruti,Alto,13,75000,Dealer,Petrol,Manual,19.7,796,46.3,5,125000
104,Maruti Alto,Maruti,Alto,14,35000,Dealer,Petrol,Manual,19.7,796,46.3,5,100000
105,Maruti Alto,Maruti,Alto,13,92000,Dealer,Petrol,Manual,19.7,796,46.3,5,115000
106,Maruti Alto,Maruti,Alto,12,73000,Dealer,Petrol,Manual,19.7,796,46.3,5,135000
107,Maruti Alto,Maruti,Alto,15,121153,Dealer,Petrol,Manual,19.7,796,46.3,5,100000
109,Maruti Alto,Maruti,Alto,10,33111,Dealer,Petrol,Manual,19.7,796,46.3,5,205000
110,Maruti Alto,Maruti,Alto,12,35000,Dealer,Petrol,Manual,19.7,796,46.3,5,220000
111,Maruti Alto,Maruti,Alto,9,65535,Dealer,Petrol,Manual,19.7,796,46.3,5,275000
113,Maruti Alto,Maruti,Alto,10,59455,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
114,Maruti Alto,Maruti,Alto,15,54171,Dealer,Petrol,Manual,19.7,796,46.3,5,100000
115,Maruti Alto,Maruti,Alto,15,56000,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
116,Maruti Alto,Maruti,Alto,12,86240,Dealer,Petrol,Manual,19.7,796,46.3,5,210000
117,Maruti Alto,Maruti,Alto,15,75000,Dealer,Petrol,Manual,19.7,796,46.3,5,105000
118,Maruti Alto,Maruti,Alto,14,69000,Dealer,Petrol,Manual,19.7,796,46.3,5,178000
119,Maruti Alto,Maruti,Alto,16,91000,Dealer,Petrol,Manual,19.7,796,46.3,5,125000
120,Maruti Alto,Maruti,Alto,11,70000,Dealer,Petrol,Manual,19.7,796,46.3,5,245000
121,Maruti Alto,Maruti,Alto,11,40000,Dealer,Petrol,Manual,19.7,796,46.3,5,265000
122,Maruti Alto,Maruti,Alto,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,120000
123,Maruti Alto,Maruti,Alto,16,70000,Individual,Petrol,Manual,19.7,796,46.3,5,85000
124,Maruti Alto,Maruti,Alto,12,43000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
126,Maruti Alto,Maruti,Alto,16,5000,Individual,Petrol,Manual,19.7,796,46.3,5,95000
127,Maruti Alto,Maruti,Alto,16,56700,Individual,Petrol,Manual,19.7,796,46.3,5,75000
128,Maruti Alto,Maruti,Alto,10,40000,Individual,Petrol,Manual,19.7,796,46.3,5,170000
130,Maruti Alto,Maruti,Alto,16,120000,Individual,Petrol,Manual,19.7,796,46.3,5,95000
132,Maruti Alto,Maruti,Alto,16,40000,Individual,Petrol,Manual,19.7,796,46.3,5,121000
133,Maruti Alto,Maruti,Alto,17,80000,Individual,Petrol,Manual,19.7,796,46.3,5,80000
134,Maruti Alto,Maruti,Alto,18,120000,Individual,Petrol,Manual,19.7,796,46.3,5,65000
135,Maruti Alto,Maruti,Alto,18,90000,Individual,Petrol,Manual,19.7,796,46.3,5,80000
136,Maruti Alto,Maruti,Alto,16,120000,Individual,Petrol,Manual,19.7,796,46.3,5,90000
137,Maruti Alto,Maruti,Alto,11,43000,Individual,Petrol,Manual,19.7,796,46.3,5,170000
138,Maruti Alto,Maruti,Alto,17,80000,Individual,Petrol,Manual,19.7,796,46.3,5,77000
139,Maruti Alto,Maruti,Alto,15,30000,Individual,Petrol,Manual,19.7,796,46.3,5,135000
141,Maruti Alto,Maruti,Alto,13,97000,Individual,Petrol,Manual,19.7,796,46.3,5,95000
142,Maruti Alto,Maruti,Alto,11,83000,Individual,Petrol,Manual,19.7,796,46.3,5,190000
143,Maruti Alto,Maruti,Alto,12,60000,Individual,Petrol,Manual,19.7,796,46.3,5,125000
144,Maruti Alto,Maruti,Alto,11,50000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
145,Maruti Alto,Maruti,Alto,10,50000,Individual,Petrol,Manual,19.7,796,46.3,5,185000
147,Maruti Alto,Maruti,Alto,15,15000,Individual,Petrol,Manual,19.7,796,46.3,5,120000
148,Maruti Alto,Maruti,Alto,15,80000,Individual,Petrol,Manual,19.7,796,46.3,5,60000
150,Maruti Alto,Maruti,Alto,12,22000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
151,Maruti Alto,Maruti,Alto,13,60000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
152,Maruti Alto,Maruti,Alto,10,20000,Individual,Petrol,Manual,19.7,796,46.3,5,170000
153,Maruti Alto,Maruti,Alto,9,70000,Individual,Petrol,Manual,19.7,796,46.3,5,200000
154,Maruti Alto,Maruti,Alto,11,35000,Individual,Petrol,Manual,19.7,796,46.3,5,115000
155,Maruti Alto,Maruti,Alto,15,120000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
156,Maruti Alto,Maruti,Alto,12,70000,Individual,Petrol,Manual,19.7,796,46.3,5,165000
157,Maruti Alto,Maruti,Alto,11,80000,Individual,Petrol,Manual,19.7,796,46.3,5,164000
158,Maruti Alto,Maruti,Alto,9,60000,Individual,Petrol,Manual,19.7,796,46.3,5,185000
161,Maruti Alto,Maruti,Alto,16,90000,Individual,Petrol,Manual,19.7,796,46.3,5,90000
164,Maruti Alto,Maruti,Alto,14,100000,Individual,Petrol,Manual,19.7,796,46.3,5,145000
165,Maruti Alto,Maruti,Alto,12,60000,Individual,Petrol,Manual,19.7,796,46.3,5,106000
166,Maruti Alto,Maruti,Alto,15,100000,Individual,Petrol,Manual,19.7,796,46.3,5,62000
168,Maruti Alto,Maruti,Alto,11,70000,Individual,Petrol,Manual,19.7,796,46.3,5,135000
169,Maruti Alto,Maruti,Alto,11,50000,Individual,Petrol,Manual,19.7,796,46.3,5,250000
170,Maruti Alto,Maruti,Alto,16,50000,Individual,Petrol,Manual,19.7,796,46.3,5,70000
171,Maruti Alto,Maruti,Alto,12,63000,Individual,Petrol,Manual,19.7,796,46.3,5,110000
172,Maruti Alto,Maruti,Alto,15,110000,Individual,Petrol,Manual,19.7,796,46.3,5,148000
173,Maruti Alto,Maruti,Alto,17,80000,Individual,Petrol,Automatic,19.7,796,46.3,5,80000
176,Maruti Alto,Maruti,Alto,10,50000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
178,Maruti Alto,Maruti,Alto,11,70000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
180,Maruti Alto,Maruti,Alto,14,55000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
182,Maruti Alto,Maruti,Alto,10,170000,Individual,Petrol,Manual,19.7,796,46.3,5,300000
186,Maruti Alto,Maruti,Alto,11,80000,Individual,Petrol,Manual,19.7,796,46.3,5,170000
189,Maruti Alto,Maruti,Alto,14,30000,Individual,Petrol,Manual,19.7,796,46.3,5,120000
190,Maruti Alto,Maruti,Alto,9,75000,Individual,Petrol,Manual,19.7,796,46.3,5,222000
191,Maruti Alto,Maruti,Alto,17,70000,Individual,Petrol,Manual,19.7,796,46.3,5,100000
193,Maruti Alto,Maruti,Alto,13,40000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
195,Maruti Alto,Maruti,Alto,13,20000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
196,Maruti Alto,Maruti,Alto,19,82000,Individual,Petrol,Manual,19.7,796,46.3,5,100000
197,Maruti Alto,Maruti,Alto,15,110000,Individual,Petrol,Manual,19.7,796,46.3,5,115000
198,Maruti Alto,Maruti,Alto,12,80000,Individual,Petrol,Manual,19.7,796,46.3,5,250000
199,Maruti Alto,Maruti,Alto,9,21000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
200,Maruti Alto,Maruti,Alto,10,16300,Individual,Petrol,Manual,19.7,796,46.3,5,168000
201,Maruti Alto,Maruti,Alto,13,110000,Individual,Petrol,Manual,19.7,796,46.3,5,85000
202,Maruti Alto,Maruti,Alto,11,29000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
203,Maruti Alto,Maruti,Alto,14,46000,Individual,Petrol,Manual,19.7,796,46.3,5,110000
207,Maruti Alto,Maruti,Alto,11,87743,Individual,Petrol,Manual,19.7,796,46.3,5,150000
208,Maruti Alto,Maruti,Alto,10,30000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
209,Maruti Alto,Maruti,Alto,13,100000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
210,Maruti Alto,Maruti,Alto,12,46500,Individual,Petrol,Manual,19.7,796,46.3,5,130000
211,Maruti Alto,Maruti,Alto,9,70000,Individual,Petrol,Manual,19.7,796,46.3,5,200000
214,Maruti Alto,Maruti,Alto,15,70000,Individual,Petrol,Manual,19.7,796,46.3,5,70000
215,Maruti Alto,Maruti,Alto,9,75000,Individual,Petrol,Manual,19.7,796,46.3,5,165000
216,Maruti Alto,Maruti,Alto,13,100000,Individual,Petrol,Manual,19.7,796,46.3,5,80000
217,Maruti Alto,Maruti,Alto,12,50000,Individual,Petrol,Manual,19.7,796,46.3,5,175000
220,Maruti Alto,Maruti,Alto,12,30000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
221,Maruti Alto,Maruti,Alto,11,60000,Individual,Petrol,Manual,19.7,796,46.3,5,200000
222,Maruti Alto,Maruti,Alto,9,40000,Individual,Petrol,Manual,19.7,796,46.3,5,170000
223,Maruti Alto,Maruti,Alto,11,20000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
224,Maruti Alto,Maruti,Alto,9,70000,Individual,Petrol,Manual,19.7,796,46.3,5,170000
225,Maruti Alto,Maruti,Alto,12,110000,Individual,Petrol,Manual,19.7,796,46.3,5,110000
226,Maruti Alto,Maruti,Alto,10,25000,Individual,Petrol,Manual,19.7,796,46.3,5,160000
227,Maruti Alto,Maruti,Alto,11,100000,Individual,Petrol,Manual,19.7,796,46.3,5,160000
228,Maruti Alto,Maruti,Alto,13,60000,Individual,Petrol,Manual,19.7,796,46.3,5,97000
229,Maruti Alto,Maruti,Alto,12,68000,Individual,Petrol,Manual,19.7,796,46.3,5,130000
230,Maruti Alto,Maruti,Alto,13,35000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
231,Maruti Alto,Maruti,Alto,10,15000,Individual,Petrol,Manual,19.7,796,46.3,5,156000
232,Maruti Alto,Maruti,Alto,13,50000,Individual,Petrol,Manual,19.7,796,46.3,5,104000
233,Maruti Alto,Maruti,Alto,14,120000,Individual,Petrol,Manual,19.7,796,46.3,5,90000
236,Maruti Alto,Maruti,Alto,15,124000,Individual,Petrol,Manual,19.7,796,46.3,5,85000
237,Maruti Alto,Maruti,Alto,12,35000,Individual,Petrol,Manual,19.7,796,46.3,5,100000
238,Maruti Alto,Maruti,Alto,15,20000,Individual,Petrol,Manual,19.7,796,46.3,5,85000
239,Maruti Alto,Maruti,Alto,11,40000,Individual,Petrol,Manual,19.7,796,46.3,5,170000
241,Maruti Alto,Maruti,Alto,14,25000,Individual,Petrol,Manual,19.7,796,46.3,5,100000
242,Maruti Alto,Maruti,Alto,11,50000,Individual,Petrol,Manual,19.7,796,46.3,5,135000
243,Maruti Alto,Maruti,Alto,12,63000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
244,Maruti Alto,Maruti,Alto,14,90000,Individual,Petrol,Manual,19.7,796,46.3,5,80000
246,Maruti Alto,Maruti,Alto,9,57000,Individual,Petrol,Manual,19.7,796,46.3,5,180000
247,Maruti Alto,Maruti,Alto,11,100000,Individual,Petrol,Manual,19.7,796,46.3,5,110000
248,Maruti Alto,Maruti,Alto,18,90000,Individual,Petrol,Manual,19.7,796,46.3,5,75000
250,Maruti Alto,Maruti,Alto,13,40000,Individual,Petrol,Manual,19.7,796,46.3,5,180000
252,Maruti Alto,Maruti,Alto,16,100000,Individual,Petrol,Manual,19.7,796,46.3,5,100000
254,Maruti Alto,Maruti,Alto,12,80000,Individual,Petrol,Manual,19.7,796,46.3,5,125000
256,Maruti Alto,Maruti,Alto,10,7000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
258,Maruti Alto,Maruti,Alto,13,60000,Individual,Petrol,Manual,19.7,796,46.3,5,91000
259,Maruti Alto,Maruti,Alto,13,110000,Individual,Petrol,Manual,19.7,796,46.3,5,120000
260,Maruti Alto,Maruti,Alto,13,30000,Individual,Petrol,Manual,19.7,796,46.3,5,200000
261,Maruti Alto,Maruti,Alto,12,70000,Individual,Petrol,Manual,19.7,796,46.3,5,130000
262,Maruti Alto,Maruti,Alto,17,110000,Individual,Petrol,Manual,19.7,796,46.3,5,45000
263,Maruti Alto,Maruti,Alto,13,40000,Individual,Petrol,Manual,19.7,796,46.3,5,100000
264,Maruti Alto,Maruti,Alto,12,90000,Individual,Petrol,Manual,19.7,796,46.3,5,115000
265,Maruti Alto,Maruti,Alto,13,50000,Individual,Petrol,Manual,19.7,796,46.3,5,110000
266,Maruti Alto,Maruti,Alto,15,72145,Individual,Petrol,Manual,19.7,796,46.3,5,65000
269,Maruti Alto,Maruti,Alto,11,70000,Individual,Petrol,Manual,19.7,796,46.3,5,135000
270,Maruti Alto,Maruti,Alto,15,70000,Individual,Petrol,Manual,19.7,796,46.3,5,100000
271,Maruti Alto,Maruti,Alto,11,100000,Individual,Petrol,Manual,19.7,796,46.3,5,180000
272,Maruti Alto,Maruti,Alto,15,100785,Individual,Petrol,Manual,19.7,796,46.3,5,65000
273,Maruti Alto,Maruti,Alto,15,80000,Individual,Petrol,Manual,19.7,796,46.3,5,100000
274,Maruti Alto,Maruti,Alto,10,19600,Individual,Petrol,Manual,19.7,796,46.3,5,190000
275,Maruti Alto,Maruti,Alto,15,110000,Individual,Petrol,Manual,19.7,796,46.3,5,125000
276,Maruti Alto,Maruti,Alto,12,80000,Individual,Petrol,Manual,19.7,796,46.3,5,215000
277,Maruti Alto,Maruti,Alto,14,60000,Individual,Petrol,Manual,19.7,796,46.3,5,80000
278,Maruti Alto,Maruti,Alto,12,90000,Individual,Petrol,Manual,19.7,796,46.3,5,110000
279,Maruti Alto,Maruti,Alto,1,10326,Trustmark Dealer,Petrol,Manual,19.7,796,46.3,5,350000
281,Maruti Alto,Maruti,Alto,9,67000,Dealer,Petrol,Manual,18.9,796,47,5,245000
282,Maruti Alto,Maruti,Alto,19,120000,Individual,Petrol,Manual,18.9,1061,47,5,50000
283,Maruti Alto,Maruti,Alto,13,30000,Individual,Petrol,Manual,18.9,1061,47,5,180000
285,Maruti Celerio,Maruti,Celerio,5,61173,Dealer,Diesel,Manual,27.62,793,47,5,375000
286,Maruti Celerio,Maruti,Celerio,6,35330,Dealer,Diesel,Manual,27.62,793,47,5,489000
287,Maruti Celerio,Maruti,Celerio,6,48000,Dealer,Diesel,Manual,27.62,793,47,5,475000
288,Maruti Celerio,Maruti,Celerio,5,87187,Dealer,Diesel,Manual,27.62,793,47,5,399000
289,Maruti Celerio,Maruti,Celerio,6,64000,Dealer,Diesel,Manual,27.62,793,47,5,350000
290,Maruti Celerio,Maruti,Celerio,5,71000,Dealer,Diesel,Manual,27.62,793,47,5,499000
291,Maruti Celerio,Maruti,Celerio,5,39500,Dealer,Diesel,Manual,27.62,793,47,5,430000
292,Maruti Celerio,Maruti,Celerio,4,30000,Individual,Diesel,Manual,27.62,793,47,5,350000
293,Maruti Celerio,Maruti,Celerio,6,50000,Individual,Diesel,Manual,27.62,793,47,5,290000
294,Maruti Alto,Maruti,Alto,8,26200,Dealer,Petrol,Manual,22.74,796,47.3,5,235000
295,Maruti Alto,Maruti,Alto,5,45000,Dealer,CNG,Manual,30.46,796,47.3,5,350000
297,Maruti Alto,Maruti,Alto,5,71000,Dealer,Petrol,Manual,24.7,796,47.3,5,299000
298,Maruti Alto,Maruti,Alto,4,34153,Dealer,Petrol,Manual,24.7,796,47.3,5,320000
299,Maruti Alto,Maruti,Alto,4,9210,Dealer,Petrol,Manual,24.7,796,47.3,5,310000
300,Maruti Alto,Maruti,Alto,5,26000,Dealer,CNG,Manual,30.46,796,47.3,5,280000
301,Maruti Alto,Maruti,Alto,5,65000,Dealer,Petrol,Manual,22.74,796,47.3,5,285000
305,Maruti Alto,Maruti,Alto,4,33000,Dealer,Petrol,Manual,24.7,796,47.3,5,330000
306,Maruti Alto,Maruti,Alto,7,62485,Dealer,Petrol,Manual,22.74,796,47.3,5,260000
308,Maruti Alto,Maruti,Alto,5,9223,Dealer,Petrol,Manual,22.74,796,47.3,5,300000
309,Maruti Alto,Maruti,Alto,4,27000,Dealer,Petrol,Manual,24.7,796,47.3,5,290000
310,Maruti Alto,Maruti,Alto,6,90145,Dealer,Petrol,Manual,22.74,796,47.3,5,290000
311,Maruti Alto,Maruti,Alto,5,24000,Dealer,Petrol,Manual,22.74,796,47.3,5,275000
313,Maruti Alto,Maruti,Alto,7,16600,Dealer,Petrol,Manual,22.74,796,47.3,5,265000
314,Maruti Alto,Maruti,Alto,29,22612,Dealer,Petrol,Manual,22.05,796,47.3,5,60000
315,Maruti Alto,Maruti,Alto,4,10617,Dealer,Petrol,Manual,24.7,796,47.3,5,314000
316,Maruti Alto,Maruti,Alto,4,9122,Dealer,Petrol,Manual,24.7,796,47.3,5,323000
317,Maruti Alto,Maruti,Alto,3,17000,Dealer,Petrol,Manual,24.7,796,47.3,5,345000
318,Maruti Alto,Maruti,Alto,5,49000,Dealer,Petrol,Manual,22.74,796,47.3,5,300000
319,Maruti Alto,Maruti,Alto,5,25603,Dealer,Petrol,Manual,22.74,796,47.3,5,291000
321,Maruti Alto,Maruti,Alto,3,40737,Dealer,Petrol,Manual,22.74,796,47.3,5,325000
323,Maruti Alto,Maruti,Alto,5,29000,Dealer,Petrol,Manual,22.74,796,47.3,5,285000
324,Maruti Alto,Maruti,Alto,7,48828,Dealer,Petrol,Manual,22.74,796,47.3,5,275000
325,Maruti Alto,Maruti,Alto,3,23493,Dealer,Petrol,Manual,24.7,796,47.3,5,319000
326,Maruti Alto,Maruti,Alto,7,48255,Dealer,Petrol,Manual,22.74,796,47.3,5,250000
327,Maruti Alto,Maruti,Alto,3,37000,Dealer,Petrol,Manual,24.7,796,47.3,5,349000
328,Maruti Alto,Maruti,Alto,8,40580,Dealer,Petrol,Manual,22.74,796,47.3,5,224000
329,Maruti Alto,Maruti,Alto,8,66516,Dealer,Petrol,Manual,22.74,796,47.3,5,220000
330,Maruti Alto,Maruti,Alto,6,35236,Dealer,Petrol,Manual,22.74,796,47.3,5,300000
331,Maruti Alto,Maruti,Alto,3,80000,Dealer,Petrol,Manual,22.74,796,47.3,5,290000
333,Maruti Alto,Maruti,Alto,7,56000,Dealer,Petrol,Manual,22.74,796,47.3,5,265000
334,Maruti Alto,Maruti,Alto,8,45000,Dealer,Petrol,Manual,22.74,796,47.3,5,285000
335,Maruti Alto,Maruti,Alto,2,21900,Dealer,Petrol,Manual,24.7,796,47.3,5,360000
336,Maruti Alto,Maruti,Alto,3,18404,Dealer,Petrol,Manual,24.7,796,47.3,5,329000
337,Maruti Alto,Maruti,Alto,4,60000,Dealer,Petrol,Manual,22.74,796,47.3,5,310000
338,Maruti Alto,Maruti,Alto,5,60000,Dealer,Petrol,Manual,22.74,796,47.3,5,275000
339,Maruti Alto,Maruti,Alto,8,50418,Dealer,Petrol,Manual,22.74,796,47.3,5,280000
340,Maruti Alto,Maruti,Alto,4,54938,Dealer,Petrol,Manual,24.7,796,47.3,5,300000
